FIPS code;State;Area_name;Civilian_labor_force_2000;Employed_2000;Unemployed_2000;Unemployment_rate_2000;Civilian_labor_force_2021;Employed_2021;Unemployed_2021;Unemployment_rate_2021
1001;Alabama;Autauga County;4480.0;4628.0;-148.0;-1.2999999999999998;26341.0;25599.0;742.0;2.8
1003;Alabama;Baldwin County;29448.0;29111.0;337.0;-0.7000000000000002;99427.0;96481.0;2946.0;3.0
1005;Alabama;Barbour County;-3252.0;-3084.0;-168.0;0.10000000000000053;8197.0;7728.0;469.0;5.7
1007;Alabama;Bibb County;-63.0;102.0;-165.0;-1.9000000000000004;8560.0;8262.0;298.0;3.5
1009;Alabama;Blount County;-139.0;154.0;-293.0;-1.1;25127.0;24529.0;598.0;2.4
1011;Alabama;Bullock County;609.0;766.0;-157.0;-4.5;4606.0;4422.0;184.0;4.0
1013;Alabama;Butler County;-425.0;-168.0;-257.0;-2.6000000000000005;8796.0;8328.0;468.0;5.3
1015;Alabama;Calhoun County;-7126.0;-6310.0;-816.0;-1.0;46118.0;44212.0;1906.0;4.1
1017;Alabama;Chambers County;-1734.0;-1536.0;-198.0;-0.7000000000000002;15752.0;15173.0;579.0;3.7
1019;Alabama;Cherokee County;430.0;650.0;-220.0;-2.0;11808.0;11512.0;296.0;2.5
1021;Alabama;Chilton County;210.0;494.0;-284.0;-1.4;19811.0;19246.0;565.0;2.9
1023;Alabama;Choctaw County;-1635.0;-1424.0;-211.0;-2.1999999999999993;4591.0;4391.0;200.0;4.4
1025;Alabama;Clarke County;-3951.0;-3550.0;-401.0;-1.4000000000000004;7726.0;7264.0;462.0;6.0
1027;Alabama;Clay County;-513.0;-269.0;-244.0;-3.5;6095.0;5930.0;165.0;2.7
1029;Alabama;Cleburne County;-1112.0;-976.0;-136.0;-1.4999999999999996;5890.0;5739.0;151.0;2.6
1031;Alabama;Coffee County;1816.0;2382.0;-566.0;-3.1000000000000005;21853.0;21243.0;610.0;2.8
1033;Alabama;Colbert County;-2664.0;-2133.0;-531.0;-1.5999999999999996;23460.0;22524.0;936.0;4.0
1035;Alabama;Conecuh County;-1145.0;-994.0;-151.0;-1.7999999999999998;4376.0;4164.0;212.0;4.8
1037;Alabama;Coosa County;-986.0;-829.0;-157.0;-2.4;4343.0;4209.0;134.0;3.1
1039;Alabama;Covington County;-2221.0;-1465.0;-756.0;-4.0;15215.0;14756.0;459.0;3.0
