FIPS code;Population
1001;58902
1003;233219
1005;24960
1007;22183
1009;59102
1011;10296
1013;19031
1015;116239
1017;34645
1019;24972
1021;45051
1023;12619
1025;22981
1027;14211
1029;15063
1031;53547
1033;57299
1035;11553
1037;10341
1039;37507
1041;13165
1043;88131
1045;49253
1047;38174
1049;71648
1051;87853
1053;36680
1055;103447
1057;16330
1059;32075
1061;26696
1063;7702
1065;14768
1067;17175
1069;107286
1071;52545
1073;674675
1075;13956
1077;94025
1079;33089
1081;174742
1083;104190
1085;10273
1087;19473
1089;390502
1091;19266
1093;29166
1095;97696
1097;414353
1099;19704
1101;228322
1103;123288
1105;8458
1107;18922
1109;32906
1111;22092
1113;59259
1115;91652
1117;223881
1119;12196
1121;81428
1123;41286
1125;231534
1127;65132
1129;15327
1131;10432
1133;23488
2013;3425
2016;5222
2020;290866
2050;18673
2060;829
2063;7077
2066;2616
2068;1614
2070;4835
2090;95328
2100;2086
2105;2362
2110;32202
2122;58927
2130;13918
2150;13047
2158;8373
2164;1452
2170;107515
2180;10028
2185;11002
2188;7790
2195;3405
2198;5739
2220;8425
2230;1240
2240;6820
2275;2127
2282;684
2290;5296
4001;65911
4003;125522
4005;145180
4007;53351
4009;38638
4011;9526
4012;16575
4013;4440232
4015;214176
4017;106762
4019;1045175
4021;429446
4023;47705
4025;237216
4027;204528
5001;17107
5003;18962
5005;41687
5007;286586
5009;37383
5011;10488
5013;4738
5015;28242
5017;10157
5019;21387
5021;14528
5023;24696
5025;7550
5027;22742
5029;20729
5031;111603
5033;60147
5035;48086
5037;16796
5039;6442
5041;11320
5043;17314
5045;123811
5047;17135
5049;12057
5051;100249
5053;18022
5055;45864
5057;19981
5059;33075
5061;12755
5063;37936
5065;13597
5067;16755
5069;66833
5071;25722
5073;6299
5075;16212
5077;8528
5079;12889
5081;11975
5083;21103
5085;74046
5087;16546
5089;16877
5091;42579
5093;40544
5095;6774
5097;8488
5099;8285
5101;7193
5103;22614
5105;10000
5107;16443
5109;10172
5111;22952
5113;19187
5115;63403
5117;8246
5119;399246
5121;18590
5123;23013
5125;123815
5127;9828
5129;7842
5131;127800
5133;15779
5135;17319
5137;12350
5139;38926
5141;15801
5143;246756
5145;76851
5147;6228
5149;20214
6001;1680380
6003;1204
6005;40532
6007;210135
6009;45346
6011;21858
6013;1165986
6015;27601
6017;191220
6019;1009503
6021;28896
6023;136261
6025;179595
6027;19001
6029;905828
6031;152790
6033;68195
6035;32317
6037;9992236
6039;156343
6041;261282
6043;17118
6045;91361
6047;281814
6049;8663
6051;13226
6053;438390
6055;137485
6057;102249
6059;3185516
6061;405889
6063;19749
6065;2422847
6067;1586465
6069;64521
6071;2183239
6073;3296045
6075;870393
6077;780558
6079;281879
6081;762511
6083;448244
6085;1931026
6087;270462
6089;181984
6091;3228
6093;43991
6095;452698
6097;488281
6099;553217
6101;99464
6103;65682
6105;16089
6107;473891
6109;55374
6111;843310
6113;216291
6115;81994
8001;520479
8003;16377
8005;655207
8007;13425
8009;3482
8011;5478
8013;330922
8014;74484
8015;19477
8017;1744
8019;9393
8021;7458
8023;3501
8025;5694
8027;4719
8029;31051
8031;717556
8033;2332
8035;360303
8037;55665
8039;26207
8041;732342
8043;48878
8045;61792
8047;5824
8049;15748
8051;16945
8053;788
8055;6827
8057;1378
8059;583050
8061;1452
8063;7066
8065;7404
8067;55675
8069;359899
8071;14482
8073;5665
8075;21204
8077;156005
8079;871
8081;13264
8083;25883
8085;42817
8087;29072
8089;18667
8091;4881
8093;17419
8095;4531
8097;17354
8099;12010
8101;168325
8103;6524
8105;11538
8107;24829
8109;6393
8111;710
8113;8054
8115;2390
8117;30994
8119;24747
8121;4808
8123;331427
8125;9979
9001;619146
9003;973159
9005;112269
9007;173927
9009;449896
9011;279522
9013;569237
9015;95274
10001;182362
10003;570873
10005;238879
12001;279742
12003;28115
12005;174506
12007;28224
12009;608713
12011;1943266
12013;13703
12015;188013
12017;154565
12019;218933
12021;377293
12023;69737
12027;34087
12029;16690
12031;997604
12033;322551
12035;116030
12037;12463
12039;43402
12041;17883
12043;12068
12045;14264
12047;13733
12049;25331
12051;39725
12053;195627
12055;101345
12057;1466160
12059;19569
12061;160439
12063;47079
12065;14390
12067;8214
12069;386194
12071;765504
12073;293948
12075;43059
12077;7805
12079;17866
12081;401593
12083;377459
12085;158658
12086;2695501
12087;82852
12089;91027
12091;212071
12093;39642
12095;1431573
12097;391118
12099;1494173
12101;566126
12103;959465
12105;730111
12107;73376
12109;277085
12111;331428
12113;188989
12115;436207
12117;471428
12119;130298
12121;43517
12123;21739
12125;15417
12127;555764
12129;33895
12131;75937
12133;25313
13001;18366
13003;8311
13005;11108
13007;2851
13009;43794
13011;18082
13013;83975
13015;109296
13017;17168
13019;18148
13021;157025
13023;12524
13025;18043
13027;16268
13029;45035
13031;79918
13033;24633
13035;25551
13037;5573
13039;54925
13043;11022
13045;119484
13047;68006
13049;12532
13051;295064
13053;9481
13055;24922
13057;268175
13059;128550
13061;2830
13063;297623
13065;6725
13067;766374
13069;43052
13071;45900
13073;156849
13075;17234
13077;146725
13079;12103
13081;20050
13083;16235
13085;27056
13087;29324
13089;764420
13091;19874
13093;11165
13095;85153
13097;144552
13099;10799
13101;3720
13103;65158
13105;19667
13107;22887
