FIPS code;POPCHG
1001;957
1003;14674
1005;-518
1007;-295
1009;382
1011;-160
1013;-405
1015;-656
1017;-686
1019;323
1021;875
1023;-224
1025;-572
1027;-39
1029;289
1031;1345
1033;801
1035;-391
1037;-216
1039;35
1041;-172
1043;2808
1045;225
1047;-1696
1049;387
1051;1589
1053;-101
1055;-353
1057;-208
1059;-181
1061;123
1063;-312
1065;-191
1067;507
1069;875
1071;309
1073;-8946
1075;-271
1077;2313
1079;137
1081;6529
1083;7337
1085;-533
1087;-1018
1089;15405
1091;-579
1093;-185
1095;1812
1097;-3401
1099;-366
1101;-2587
1103;790
1105;-480
1107;-427
1109;6
1111;509
1113;-632
1115;2461
1117;7081
1119;-495
1121;-1448
1123;-339
1125;9739
1127;-1003
1129;-266
1131;-542
1133;211
2013;-21
2016;-110
2020;-4099
2050;-413
2060;22
2063;-223
2066;-29
2068;-39
2070;-130
2090;-301
2100;-24
2105;-77
2110;-570
2122;1901
2130;-216
2150;-381
2158;-94
2164;-95
2170;6243
2180;-214
2185;-225
2188;-367
2195;-39
2198;-103
2220;-66
2230;-161
2240;216
2275;-56
2282;36
2290;-160
4001;-592
4003;215
4005;-1040
4007;649
4009;246
4011;-259
4012;-49
4013;130950
4015;7547
4017;1934
4019;14163
4021;38897
4023;1094
4025;9973
4027;3962
5001;-638
5003;-710
5005;802
5007;18534
5009;912
5011;-405
5013;-47
5015;482
5017;-339
5019;-197
5021;-283
5023;579
5025;-81
5027;-582
5029;337
5031;1784
5033;945
5035;-1108
5037;-229
5039;-288
5041;-624
5043;-437
5045;4167
5047;170
5049;305
5051;-83
5053;194
5055;708
5057;-609
5059;157
5061;-227
5063;14
5065;474
5067;-136
5069;-3015
5071;252
5073;-210
5075;-11
5077;-233
5079;-20
5081;-207
5083;121
5085;1215
5087;965
5089;422
5091;-43
5093;-1796
5095;-235
5097;70
5099;-134
5101;-147
5103;-599
5105;42
5107;-1272
5109;-1
5111;-470
5113;114
5115;680
5117;-215
5119;28
5121;266
5123;-638
5125;3933
5127;-28
5129;87
5131;1259
5133;-158
5135;530
5137;217
5139;-1297
5141;305
5143;10188
5145;933
5147;-227
5149;-130
6001;-53334
6003;-11
6005;938
6007;-4328
6009;1278
6011;77
6013;-8961
6015;-663
6017;1462
6019;6540
6021;-576
6023;-1455
6025;-996
6027;-307
6029;6864
6031;493
6033;33
6035;-2826
6037;-292904
6039;3997
6041;-6300
6043;-108
6045;-1812
6047;8812
6049;-189
6051;-220
6053;-6178
6055;-3724
6057;58
6059;-35795
6061;13032
6063;-445
6065;55725
6067;-877
6069;3372
6071;11994
6073;-22427
6075;-65522
6077;14002
6079;-430
6081;-35251
6083;-4380
6085;-65329
6087;-6499
6089;-1222
6091;-17
6093;-415
6095;-4743
6097;-6225
6099;-1605
6101;-1128
6103;-586
6105;-331
6107;4427
6109;-1092
6111;-11238
6113;5710
6115;2732
8001;7993
8003;211
8005;750
8007;647
8009;-78
8011;-252
8013;-3296
8014;2016
8015;750
8017;-16
8019;-39
8021;112
8023;107
8025;-305
8027;632
8029;403
8031;-2286
8033;129
8035;17990
8037;-445
8039;1750
8041;10165
8043;683
8045;583
8047;81
8049;52
8051;350
8053;-9
8055;266
8057;-77
8059;-6759
8061;-21
8063;-125
8065;-101
8067;968
8069;7712
8071;-230
8073;-167
8075;-704
8077;2926
8079;66
8081;-114
8083;622
8085;1131
8087;133
8089;-389
8091;220
8093;544
8095;-88
8097;-482
8099;-141
8101;1376
8103;38
8105;-214
8107;183
8109;251
8111;100
8113;-68
8115;-107
8117;-487
8119;146
8121;-2
8123;21200
8125;-91
9001;3159
9003;5178
9005;778
9007;2401
9009;3636
9011;-41
9013;2791
9015;852
10001;5090
10003;4773
10005;18576
12001;5555
12003;-460
12005;9930
12007;-993
12009;24090
12011;2650
12013;-180
12015;15811
12017;8674
12019;8339
12021;22234
12023;2207
12027;1337
12029;366
12031;20976
12033;2981
12035;11322
12037;46
12039;-417
12041;1130
12043;327
12045;1114
12047;-789
12049;319
12051;1713
12053;12381
12055;4380
12057;53528
12059;-6
12061;7563
12063;902
12065;535
12067;-439
12069;26180
12071;61633
12073;5166
12075;2348
12077;-373
12079;228
12081;29420
12083;20509
12085;3571
12086;-27925
12087;-1171
12089;7544
12091;4818
12093;776
12095;22825
12097;33881
12099;26279
12101;46897
12103;2636
12105;62363
12107;1404
12109;33414
12111;29477
12113;10277
12115;28281
12117;7917
12119;15219
12121;1939
12123;-517
12125;-678
12127;25631
12129;1412
12131;7998
12133;92
13001;-12
13003;-106
13005;51
13007;-87
13009;-160
13011;1291
13013;5792
13015;3928
13017;-126
13019;48
13021;-1150
13023;-328
13025;162
13027;-46
13029;3486
13031;3412
13033;-206
13035;1209
13037;-107
13039;2244
13043;10
13045;5451
13047;953
13049;263
13051;5827
13053;-749
13055;-33
13057;14653
13059;1204
13061;-2
13063;-1044
13065;-84
13067;5792
13069;84
13071;-140
13073;6409
13075;174
13077;6728
13079;10
13081;-419
13083;-165
13085;3342
13087;-387
13089;-1566
13091;-127
13093;-640
13095;-2824
13097;3089
13099;-281
13101;-17
13103;4273
13105;176
13107;160
13109;-77
13111;418
13113;2844
13115;857
13117;15954
13119;704
13121;7932
13123;1053
13125;57
13127;582
13129;1411
13131;-229
13133;1232
13135;18326
13137;1442
13139;9526
13141;-346
13143;1417
13145;1607
13147;1085
13149;311
13151;7645
13153;5990
13155;-541
13157;8032
13159;1356
13161;111
13163;-400
13165;11
13167;50
13169;121
13171;967
13173;291
13175;79
13177;480
13179;2756
13181;153
13183;2190
13185;1490
13187;1309
13189;88
13191;205
13193;-316
13195;1350
13197;-57
13199;235
13201;-190
13205;-646
13207;1472
13209;45
13211;935
13213;490
13215;-4306
13217;5130
13219;1789
13221;645
13223;9761
13225;573
13227;1611
13229;452
13231;1109
13233;855
13235;127
13237;938
13239;11
13241;324
13243;-307
13245;33
13247;1430
13249;-50
13251;-89
13253;-25
13255;1618
13257;-20
13259;-664
13261;-735
13263;12
13265;38
13267;-223
13269;-79
13271;-123
13273;-430
13275;-245
13277;65
13279;-194
13281;485
13283;-36
13285;764
13287;-159
13289;-343
13291;1762
13293;387
13295;1255
13297;6396
13299;-633
13301;-56
13303;-254
13305;752
13307;-21
13309;-165
13311;806
13313;266
13315;-6
13317;32
13319;-187
13321;-359
15001;5684
15003;-20868
15005;2
15007;516
15009;-411
16001;23943
16003;437
16005;2500
16007;351
16009;839
16011;1928
16013;591
16015;720
16017;4309
16019;5541
16021;1288
16023;109
16025;80
16027;19959
16029;162
16031;962
16033;18
16035;284
16037;232
16039;738
16041;993
16043;595
16045;1292
16047;116
16049;1051
16051;2539
16053;1070
16055;12204
16057;1460
16059;264
16061;235
16063;206
16065;2068
16067;612
16069;915
16071;149
16073;699
16075;1571
16077;194
16079;848
16081;911
16083;3651
16085;720
16087;587
17001;-1002
17003;-384
17005;-163
17007;-292
17009;83
17011;-401
17013;-75
17015;-176
17017;-387
17019;679
17021;-595
17023;-228
17025;-243
17027;3
17029;-531
17031;-166230
17033;-136
17035;-124
17037;-183
17039;-200
17041;21
17043;-11976
17045;-435
17047;-176
17049;-346
17051;-187
17053;-282
17055;-556
17057;-590
17059;-93
17061;-337
17063;497
17065;-9
17067;-377
17069;-50
17071;-234
17073;-871
17075;-606
17077;-367
17079;-76
17081;-718
17083;-274
17085;-284
17087;71
17089;-2338
17091;-1434
17093;5386
17095;-1331
17097;-5201
17099;-1585
17101;-369
17103;-296
17105;-295
17107;-395
17109;-376
17111;1520
17113;166
17115;-2520
17117;-722
17119;-1994
17121;-813
17123;-66
17125;-343
17127;-280
17129;-175
17131;-190
17133;80
17135;-267
17137;-708
17139;-200
17141;-437
17143;-3450
17145;-352
17147;51
17149;-253
17151;2
17153;-200
17155;-66
17157;-97
17159;-365
17161;-3151
17163;-4732
17165;-685
17167;-1804
17169;-156
17171;-157
17173;-234
17175;-60
17177;-996
17179;-1423
17181;-476
17183;-1862
17185;-274
17187;-486
17189;-124
17191;-301
17193;-258
17195;-1033
17197;395
17199;-459
17201;-3162
17203;-322
18001;257
18003;6038
18005;1322
18007;-1
18009;-196
18011;3350
18013;95
18015;251
18017;-330
18019;3146
18021;-78
18023;-345
18025;6
18027;27
18029;458
18031;-55
18033;458
18035;122
18037;-3
18039;-164
18041;-55
18043;240
18045;100
18047;232
18049;-153
18051;-24
18053;-639
18055;201
18057;17456
18059;3219
18061;202
18063;7742
18065;3
18067;-85
