FIPS code;GeoName;State;2001 Real GDP (thousands of chained 2012 dollars) ;2002 Real GDP (thousands of chained 2012 dollars) ;2003 Real GDP (thousands of chained 2012 dollars) ;2004 Real GDP (thousands of chained 2012 dollars) ;2005 Real GDP (thousands of chained 2012 dollars) ;2006 Real GDP (thousands of chained 2012 dollars) ;2007 Real GDP (thousands of chained 2012 dollars) ;2008 Real GDP (thousands of chained 2012 dollars) ;2009 Real GDP (thousands of chained 2012 dollars) ;2010 Real GDP (thousands of chained 2012 dollars) ;2011 Real GDP (thousands of chained 2012 dollars) ;2012 Real GDP (thousands of chained 2012 dollars) ;2013 Real GDP (thousands of chained 2012 dollars) ;2014 Real GDP (thousands of chained 2012 dollars) ;2015 Real GDP (thousands of chained 2012 dollars) ;2016 Real GDP (thousands of chained 2012 dollars) ;2017 Real GDP (thousands of chained 2012 dollars) ;2018 Real GDP (thousands of chained 2012 dollars) ;2019 Real GDP (thousands of chained 2012 dollars) ;2020 Real GDP (thousands of chained 2012 dollars) ;2021 Real GDP (thousands of chained 2012 dollars) ;2001 Chain-type quantity indexes for real GDP ;2002 Chain-type quantity indexes for real GDP ;2003 Chain-type quantity indexes for real GDP ;2004 Chain-type quantity indexes for real GDP ;2005 Chain-type quantity indexes for real GDP ;2006 Chain-type quantity indexes for real GDP ;2007 Chain-type quantity indexes for real GDP ;2008 Chain-type quantity indexes for real GDP ;2009 Chain-type quantity indexes for real GDP ;2010 Chain-type quantity indexes for real GDP ;2011 Chain-type quantity indexes for real GDP ;2012 Chain-type quantity indexes for real GDP ;2013 Chain-type quantity indexes for real GDP ;2014 Chain-type quantity indexes for real GDP ;2015 Chain-type quantity indexes for real GDP ;2016 Chain-type quantity indexes for real GDP ;2017 Chain-type quantity indexes for real GDP ;2018 Chain-type quantity indexes for real GDP ;2019 Chain-type quantity indexes for real GDP ;2020 Chain-type quantity indexes for real GDP ;2021 Chain-type quantity indexes for real GDP ;2001 Chain-type quantity indexes for real GDP ;2002 Chain-type quantity indexes for real GDP ;2003 Chain-type quantity indexes for real GDP ;2004 Chain-type quantity indexes for real GDP ;2005 Chain-type quantity indexes for real GDP ;2006 Chain-type quantity indexes for real GDP ;2007 Chain-type quantity indexes for real GDP ;2008 Chain-type quantity indexes for real GDP ;2009 Chain-type quantity indexes for real GDP ;2010 Chain-type quantity indexes for real GDP ;2011 Chain-type quantity indexes for real GDP ;2012 Chain-type quantity indexes for real GDP ;2013 Chain-type quantity indexes for real GDP ;2014 Chain-type quantity indexes for real GDP ;2015 Chain-type quantity indexes for real GDP ;2016 Chain-type quantity indexes for real GDP ;2017 Chain-type quantity indexes for real GDP ;2018 Chain-type quantity indexes for real GDP ;2019 Chain-type quantity indexes for real GDP ;2020 Chain-type quantity indexes for real GDP ;2021 Chain-type quantity indexes for real GDP 
1001;Autauga County;Alabama;949800.0;984039.0;1008032.0;1170278.0;1195319.0;1277094.0;1298942.0;1172510.0;1209088.0;1286603.0;1375813.0;1587254.0;1477094.0;1478607.0;1586164.0;1652177.0;1584054.0;1600812.0;1543336.0;1525591.0;1502153.0;59.839;61.996;63.508;73.73;75.307;80.459;81.836;73.87;76.175;81.058;86.679;100.0;93.06;93.155;99.931;104.09;99.798;100.854;97.233;96.115;94.638;59.839;61.996;63.508;73.73;75.307;80.459;81.836;73.87;76.175;81.058;86.679;100.0;93.06;93.155;99.931;104.09;99.798;100.854;97.233;96.115;94.638
1003;Baldwin County;Alabama;4007706.0;4193288.0;4426472.0;4912303.0;5502688.0;5673657.0;5852051.0;5569570.0;5328816.0;5381575.0;5372338.0;5426597.0;5678991.0;5775601.0;5992794.0;6266434.0;6430406.0;6786933.0;7132205.0;7142139.0;7830237.0;73.853;77.273;81.57;90.523;101.402;104.553;107.84;102.635;98.198;99.17;99.0;100.0;104.651;106.431;110.434;115.476;118.498;125.068;131.431;131.614;144.294;73.853;77.273;81.57;90.523;101.402;104.553;107.84;102.635;98.198;99.17;99.0;100.0;104.651;106.431;110.434;115.476;118.498;125.068;131.431;131.614;144.294
1005;Barbour County;Alabama;812751.0;798398.0;818206.0;888479.0;892271.0;875189.0;845113.0;790132.0;774354.0;784043.0;741762.0;713793.0;808975.0;762048.0;740218.0;727850.0;717423.0;726669.0;728447.0;699829.0;709459.0;113.864;111.853;114.628;124.473;125.004;122.611;118.397;110.695;108.484;109.842;103.918;100.0;113.335;106.76;103.702;101.969;100.509;101.804;102.053;98.044;99.393;113.864;111.853;114.628;124.473;125.004;122.611;118.397;110.695;108.484;109.842;103.918;100.0;113.335;106.76;103.702;101.969;100.509;101.804;102.053;98.044;99.393
1007;Bibb County;Alabama;292495.0;296437.0;309513.0;324760.0;322815.0;325779.0;346544.0;344498.0;337952.0;364023.0;372908.0;363604.0;361921.0;356088.0;343948.0;348377.0;352253.0;352652.0;380403.0;398101.0;392249.0;80.443;81.527;85.124;89.317;88.782;89.597;95.308;94.745;92.945;100.115;102.559;100.0;99.537;97.933;94.594;95.812;96.878;96.988;104.62;109.487;107.878;80.443;81.527;85.124;89.317;88.782;89.597;95.308;94.745;92.945;100.115;102.559;100.0;99.537;97.933;94.594;95.812;96.878;96.988;104.62;109.487;107.878
1009;Blount County;Alabama;810054.0;814356.0;839651.0;863041.0;887578.0;856880.0;850648.0;853788.0;843906.0;839899.0;808595.0;879500.0;873500.0;893431.0;936725.0;865373.0;917590.0;963577.0;937239.0;883216.0;997835.0;92.104;92.593;95.469;98.129;100.918;97.428;96.72;97.077;95.953;95.497;91.938;100.0;99.318;101.584;106.506;98.394;104.331;109.56;106.565;100.422;113.455;92.104;92.593;95.469;98.129;100.918;97.428;96.72;97.077;95.953;95.497;91.938;100.0;99.318;101.584;106.506;98.394;104.331;109.56;106.565;100.422;113.455
1011;Bullock County;Alabama;234911.0;242874.0;239075.0;236364.0;234789.0;244146.0;229268.0;225788.0;254445.0;238863.0;230337.0;245887.0;225539.0;209790.0;204365.0;222938.0;224377.0;235720.0;250367.0;251580.0;236820.0;95.536;98.775;97.23;96.127;95.487;99.292;93.241;91.826;103.48;97.144;93.676;100.0;91.725;85.32;83.113;90.667;91.252;95.865;101.822;102.315;96.313;95.536;98.775;97.23;96.127;95.487;99.292;93.241;91.826;103.48;97.144;93.676;100.0;91.725;85.32;83.113;90.667;91.252;95.865;101.822;102.315;96.313
1013;Butler County;Alabama;435433.0;450276.0;468458.0;492437.0;487731.0;485727.0;515248.0;499219.0;468208.0;541838.0;568182.0;553941.0;563728.0;560184.0;578140.0;567733.0;583033.0;607338.0;616902.0;595024.0;652486.0;78.606;81.286;84.568;88.897;88.047;87.686;93.015;90.121;84.523;97.815;102.571;100.0;101.767;101.127;104.369;102.49;105.252;109.639;111.366;107.416;117.79;78.606;81.286;84.568;88.897;88.047;87.686;93.015;90.121;84.523;97.815;102.571;100.0;101.767;101.127;104.369;102.49;105.252;109.639;111.366;107.416;117.79
1015;Calhoun County;Alabama;3487094.0;3585435.0;3716295.0;4032708.0;4275113.0;4285067.0;4400426.0;4438806.0;4197841.0;4366524.0;4160592.0;4155626.0;4026676.0;3863268.0;3805848.0;3845108.0;3894794.0;3949243.0;4139002.0;4026694.0;4245199.0;83.913;86.279;89.428;97.042;102.875;103.115;105.891;106.814;101.016;105.075;100.12;100.0;96.897;92.965;91.583;92.528;93.723;95.034;99.6;96.897;102.155;83.913;86.279;89.428;97.042;102.875;103.115;105.891;106.814;101.016;105.075;100.12;100.0;96.897;92.965;91.583;92.528;93.723;95.034;99.6;96.897;102.155
1017;Chambers County;Alabama;841042.0;865276.0;791878.0;864369.0;825600.0;781516.0;776993.0;673860.0;639027.0;688104.0;758736.0;739793.0;768603.0;753719.0;769394.0;782283.0;784214.0;807671.0;829391.0;811937.0;844188.0;113.686;116.962;107.041;116.839;111.599;105.64;105.029;91.088;86.379;93.013;102.561;100.0;103.894;101.882;104.001;105.744;106.005;109.175;112.111;109.752;114.111;113.686;116.962;107.041;116.839;111.599;105.64;105.029;91.088;86.379;93.013;102.561;100.0;103.894;101.882;104.001;105.744;106.005;109.175;112.111;109.752;114.111
1019;Cherokee County;Alabama;384513.0;382810.0;402567.0;439789.0;432971.0;451873.0;471507.0;488087.0;447124.0;473975.0;477731.0;491707.0;525840.0;513412.0;519042.0;510173.0;506991.0;538707.0;524953.0;476187.0;533432.0;78.2;77.853;81.871;89.441;88.055;91.899;95.892;99.264;90.933;96.394;97.158;100.0;106.942;104.414;105.559;103.756;103.108;109.559;106.761;96.844;108.486;78.2;77.853;81.871;89.441;88.055;91.899;95.892;99.264;90.933;96.394;97.158;100.0;106.942;104.414;105.559;103.756;103.108;109.559;106.761;96.844;108.486
1021;Chilton County;Alabama;638533.0;661191.0;687967.0;735488.0;757322.0;772025.0;779808.0;736165.0;723669.0;741080.0;807066.0;833949.0;873107.0;813025.0;833899.0;858556.0;878209.0;916955.0;978878.0;967885.0;1001475.0;76.567;79.284;82.495;88.193;90.812;92.575;93.508;88.275;86.776;88.864;96.776;100.0;104.695;97.491;99.994;102.951;105.307;109.953;117.379;116.06;120.088;76.567;79.284;82.495;88.193;90.812;92.575;93.508;88.275;86.776;88.864;96.776;100.0;104.695;97.491;99.994;102.951;105.307;109.953;117.379;116.06;120.088
1023;Choctaw County;Alabama;640561.0;563145.0;528070.0;611959.0;682296.0;727825.0;612476.0;588259.0;393688.0;413492.0;456158.0;552141.0;552533.0;541724.0;509136.0;498608.0;505087.0;547191.0;500986.0;499772.0;501532.0;116.014;101.993;95.641;110.834;123.573;131.819;110.928;106.542;71.302;74.889;82.616;100.0;100.071;98.113;92.211;90.304;91.478;99.104;90.735;90.515;90.834;116.014;101.993;95.641;110.834;123.573;131.819;110.928;106.542;71.302;74.889;82.616;100.0;100.071;98.113;92.211;90.304;91.478;99.104;90.735;90.515;90.834
1025;Clarke County;Alabama;672545.0;675639.0;677700.0;741440.0;779657.0;823559.0;813220.0;778451.0;762901.0;726678.0;742128.0;775244.0;803056.0;764622.0;748919.0;745289.0;724891.0;749753.0;737104.0;752027.0;761922.0;86.753;87.152;87.418;95.64;100.569;106.232;104.899;100.414;98.408;93.735;95.728;100.0;103.587;98.63;96.604;96.136;93.505;96.712;95.08;97.005;98.282;86.753;87.152;87.418;95.64;100.569;106.232;104.899;100.414;98.408;93.735;95.728;100.0;103.587;98.63;96.604;96.136;93.505;96.712;95.08;97.005;98.282
1027;Clay County;Alabama;317661.0;320561.0;299284.0;333898.0;373011.0;409845.0;339655.0;312828.0;290050.0;294680.0;273570.0;280607.0;301458.0;309768.0;323820.0;344213.0;367307.0;443907.0;405188.0;400458.0;434129.0;113.205;114.238;106.656;118.991;132.93;146.057;121.043;111.483;103.365;105.015;97.492;100.0;107.431;110.392;115.4;122.667;130.897;158.195;144.397;142.711;154.711;113.205;114.238;106.656;118.991;132.93;146.057;121.043;111.483;103.365;105.015;97.492;100.0;107.431;110.392;115.4;122.667;130.897;158.195;144.397;142.711;154.711
1029;Cleburne County;Alabama;329499.0;270009.0;264939.0;278398.0;294254.0;275258.0;253377.0;266944.0;255151.0;263741.0;244873.0;270115.0;284898.0;299402.0;314242.0;302950.0;296993.0;300078.0;276070.0;260699.0;298888.0;121.985;99.961;98.084;103.067;108.937;101.904;93.803;98.826;94.46;97.641;90.655;100.0;105.473;110.842;116.336;112.156;109.951;111.093;102.205;96.514;110.652;121.985;99.961;98.084;103.067;108.937;101.904;93.803;98.826;94.46;97.641;90.655;100.0;105.473;110.842;116.336;112.156;109.951;111.093;102.205;96.514;110.652
1031;Coffee County;Alabama;1007082.0;1015813.0;1016275.0;1099644.0;1145119.0;1126087.0;1165082.0;1187262.0;1212410.0;1233677.0;1167718.0;1194263.0;1201238.0;1239318.0;1300567.0;1299125.0;1297442.0;1322035.0;1320034.0;1262831.0;1403123.0;84.327;85.058;85.096;92.077;95.885;94.291;97.557;99.414;101.519;103.3;97.777;100.0;100.584;103.773;108.901;108.78;108.639;110.699;110.531;105.741;117.489;84.327;85.058;85.096;92.077;95.885;94.291;97.557;99.414;101.519;103.3;97.777;100.0;100.584;103.773;108.901;108.78;108.639;110.699;110.531;105.741;117.489
