FIPS code;State;Area name;2003 Rural-urban Continuum Code;2003 Urban Influence Code;2013 Rural-urban Continuum Code;2013 Urban Influence Code;Less than a high school diploma, 1970;High school diploma only, 1970;Some college (1-3 years), 1970;Four years of college or higher, 1970;Percent of adults with less than a high school diploma, 1970;Percent of adults with a high school diploma only, 1970;Percent of adults completing some college (1-3 years), 1970;Percent of adults completing four years of college or higher, 1970;Less than a high school diploma, 1980;High school diploma only, 1980;Some college (1-3 years), 1980;Four years of college or higher, 1980;Percent of adults with less than a high school diploma, 1980;Percent of adults with a high school diploma only, 1980;Percent of adults completing some college (1-3 years), 1980;Percent of adults completing four years of college or higher, 1980;Less than a high school diploma, 1990;High school diploma only, 1990;Some college or associate's degree, 1990;Bachelor's degree or higher, 1990;Percent of adults with less than a high school diploma, 1990;Percent of adults with a high school diploma only, 1990;Percent of adults completing some college or associate's degree, 1990;Percent of adults with a bachelor's degree or higher, 1990;Less than a high school diploma, 2000;High school diploma only, 2000;Some college or associate's degree, 2000;Bachelor's degree or higher, 2000;Percent of adults with less than a high school diploma, 2000;Percent of adults with a high school diploma only, 2000;Percent of adults completing some college or associate's degree, 2000;Percent of adults with a bachelor's degree or higher, 2000;Less than a high school diploma, 2008-12;High school diploma only, 2008-12;Some college or associate's degree, 2008-12;Bachelor's degree or higher, 2008-12;Percent of adults with less than a high school diploma, 2008-12;Percent of adults with a high school diploma only, 2008-12;Percent of adults completing some college or associate's degree, 2008-12;Percent of adults with a bachelor's degree or higher, 2008-12;Less than a high school diploma, 2017-21;High school diploma only, 2017-21;Some college or associate's degree, 2017-21;Bachelor's degree or higher, 2017-21;Percent of adults with less than a high school diploma, 2017-21;Percent of adults with a high school diploma only, 2017-21;Percent of adults completing some college or associate's degree, 2017-21;Percent of adults with a bachelor's degree or higher, 2017-21
1001;Alabama;Autauga County;2.0;2.0;2.0;2.0;6611.0;3757.0;933.0;767.0;54.8;31.1;7.7;6.4;7074.0;6145.0;2104.0;2117.0;40.6;35.2;12.1;12.1;6252.0;6671.0;4912.0;3026.0;30.0;32.0;23.5;14.5;5872.0;9332.0;7413.0;4972.0;21.3;33.8;26.9;18.0;5232.0;11874.0;10409.0;7629.0;14.88732073753699;33.7867061233781;29.61814249943091;21.707830639654;4126.0;12977.0;11367.0;11144.0;10.41550966829909;32.75862068965517;28.69440096935427;28.13146867269147
1003;Alabama;Baldwin County;4.0;5.0;3.0;2.0;18726.0;8426.0;2334.0;2038.0;59.4;26.7;7.4;6.5;18125.0;15380.0;6602.0;5498.0;39.7;33.7;14.5;12.1;17309.0;20544.0;15900.0;10870.0;26.8;31.8;24.6;16.8;17258.0;28428.0;28178.0;22146.0;18.0;29.6;29.3;23.1;14792.0;36675.0;40497.0;35307.0;11.62244344744679;28.81646250913405;31.81950326468716;27.741590778732;14555.0;44342.0;50518.0;52562.0;8.985843669162906;27.37549158213821;31.1883785969613;32.45028615173759
1005;Alabama;Barbour County;6.0;6.0;6.0;6.0;8120.0;2242.0;581.0;861.0;68.8;19.0;4.9;7.3;7759.0;3671.0;1362.0;1300.0;55.1;26.1;9.7;9.2;6965.0;4258.0;2622.0;1857.0;44.4;27.1;16.7;11.8;6679.0;6124.0;4025.0;2068.0;35.3;32.4;21.3;10.9;5013.0;6320.0;4892.0;2757.0;26.40922979664946;33.29470024233485;25.77178379517438;14.52428616584132;4378.0;6600.0;5010.0;2007.0;24.32898027229786;36.67685468185607;27.84106696304529;11.15309808280078
1007;Alabama;Bibb County;1.0;1.0;1.0;1.0;5272.0;1402.0;238.0;302.0;73.1;19.4;3.3;4.2;5254.0;2611.0;536.0;433.0;59.5;29.6;6.1;4.9;4850.0;3407.0;1332.0;476.0;48.2;33.8;13.2;4.7;4984.0;4838.0;2756.0;962.0;36.8;35.7;20.4;7.1;3702.0;6457.0;3963.0;1396.0;23.856167031834;41.60974352364995;25.53808480474288;8.996004639773167;3125.0;7052.0;3967.0;1913.0;19.46191692096905;43.9185402005356;24.70573581615495;11.91380706234041
1009;Alabama;Blount County;1.0;1.0;1.0;1.0;10677.0;3440.0;626.0;404.0;70.5;22.7;4.1;2.7;11666.0;7011.0;1819.0;1144.0;53.9;32.4;8.4;5.3;9960.0;8763.0;4745.0;1773.0;39.5;34.7;18.8;7.0;9960.0;12136.0;8371.0;3235.0;29.6;36.0;24.8;9.6;9419.0;13994.0;10498.0;4792.0;24.33661473270806;36.15740381882541;27.1245123117071;12.38146913675942;6650.0;14284.0;13673.0;6061.0;16.35192288777417;35.1234385757844;33.62102881872725;14.90360971771417
1011;Alabama;Bullock County;6.0;6.0;6.0;6.0;4245.0;958.0;305.0;314.0;72.9;16.5;5.2;5.4;3473.0;1324.0;574.0;516.0;59.0;22.5;9.8;8.8;3428.0;1669.0;954.0;676.0;51.0;24.8;14.2;10.0;2992.0;2667.0;1325.0;586.0;39.5;35.2;17.5;7.7;2249.0;2729.0;1697.0;900.0;29.68976897689769;36.02640264026402;22.4026402640264;11.88118811881188;1540.0;2841.0;1692.0;804.0;22.39348553148175;41.3116184382725;24.60375163588774;11.69114439435801
1013;Alabama;Butler County;6.0;6.0;6.0;6.0;8353.0;2459.0;499.0;541.0;70.5;20.7;4.2;4.6;6929.0;3635.0;1016.0;1029.0;55.0;28.8;8.1;8.2;6374.0;3927.0;2106.0;1083.0;47.2;29.1;15.6;8.0;4439.0;4749.0;3146.0;1433.0;32.2;34.5;22.9;10.4;3341.0;5463.0;3465.0;1812.0;23.72700802499822;38.79696044315035;24.6076272991975;12.86840423265393;1932.0;6050.0;3523.0;1879.0;14.43514644351464;45.20322773460849;26.32247459653317;14.03915122534369
1015;Alabama;Calhoun County;3.0;2.0;3.0;2.0;30535.0;13804.0;3823.0;3921.0;58.6;26.5;7.3;7.5;28268.0;21411.0;8449.0;7213.0;43.3;32.8;12.9;11.0;23633.0;21711.0;16835.0;10266.0;32.6;30.0;23.2;14.2;19318.0;23856.0;19576.0;11265.0;26.1;32.2;26.4;15.2;16603.0;26224.0;22932.0;12544.0;21.20352987752704;33.49041543746728;29.2862342438987;16.01982044110698;11867.0;27783.0;24939.0;15674.0;14.78514383962723;34.61495334089182;31.07160210806972;19.52830071141124
1017;Alabama;Chambers County;6.0;5.0;6.0;5.0;13616.0;4816.0;927.0;847.0;67.4;23.8;4.6;4.2;12616.0;6544.0;2238.0;1710.0;54.6;28.3;9.7;7.4;10833.0;6749.0;3998.0;2101.0;45.7;28.5;16.9;8.9;8778.0;7863.0;5517.0;2339.0;35.8;32.1;22.5;9.5;6194.0;8277.0;6546.0;2604.0;26.22242919436095;35.04085347783752;27.71262859320097;11.02408873460057;4275.0;8996.0;8167.0;3390.0;17.21846302561624;36.23328500080554;32.89431287256323;13.65393910101498
1019;Alabama;Cherokee County;8.0;6.0;6.0;6.0;6126.0;1878.0;440.0;329.0;69.8;21.4;5.0;3.8;6372.0;3158.0;985.0;712.0;56.8;28.1;8.8;6.3;6030.0;4092.0;1966.0;866.0;46.5;31.6;15.2;6.7;6138.0;5865.0;3186.0;1636.0;36.5;34.9;18.9;9.7;4241.0;6206.0;5627.0;2429.0;22.92060746905907;33.54050694481976;30.41128465654218;13.12760092957899;3720.0;6809.0;5543.0;2364.0;20.17791277934476;36.93317422434367;30.06617487524409;12.82273812106748
