FIPS code;GeoName;State;2001 Personal income (thousands of dollars) ;2002 Personal income (thousands of dollars) ;2003 Personal income (thousands of dollars) ;2004 Personal income (thousands of dollars) ;2005 Personal income (thousands of dollars) ;2006 Personal income (thousands of dollars) ;2007 Personal income (thousands of dollars) ;2008 Personal income (thousands of dollars) ;2009 Personal income (thousands of dollars) ;2010 Personal income (thousands of dollars) ;2011 Personal income (thousands of dollars) ;2012 Personal income (thousands of dollars) ;2013 Personal income (thousands of dollars) ;2014 Personal income (thousands of dollars) ;2015 Personal income (thousands of dollars) ;2016 Personal income (thousands of dollars) ;2017 Personal income (thousands of dollars) ;2018 Personal income (thousands of dollars) ;2019 Personal income (thousands of dollars) ;2020 Personal income (thousands of dollars) ;2021 Personal income (thousands of dollars) ;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/
1001;Autauga County;Alabama;1105703;1147287;1234162;1339381;1443011;1540270;1664862;1774920;1785964;1849584;1916140;1968559;1973126;2044530;2156845;2233800;2305472;2380893;2495580;2664063;2857062;44889;45909;46800;48366;49676;51328;52405;53277;54135;54826;55557;55558;55594;56034;56278;56954;57371;57728;58245;58877;59095;44889;45909;46800;48366;49676;51328;52405;53277;54135;54826;55557;55558;55594;56034;56278;56954;57371;57728;58245;58877;59095
1003;Baldwin County;Alabama;3942661;4077725;4287483;4801448;5314389;5940548;6311686;6411800;6364898;6768269;7184451;7375651;7612912;8065302;8634950;9161041;9663394;10226651;10986182;11971269;13079505;144875;147957;151509;156266;162183;168121;172404;175827;179406;183200;186981;190941;196067;200759;204925;210004;215365;221132;227079;233140;239294;144875;147957;151509;156266;162183;168121;172404;175827;179406;183200;186981;190941;196067;200759;204925;210004;215365;221132;227079;233140;239294
1005;Barbour County;Alabama;576643;575922;592943;641617;668629;690990;712308;720038;724305;761260;768645;761473;807108;799561;833012;820288;823738;845871;878887;934683;1009235;28863;28653;28594;28287;28027;27861;27757;27808;27657;27342;27426;27320;27158;27043;26633;26217;25608;25380;25205;25180;24964;28863;28653;28594;28287;28027;27861;27757;27808;27657;27342;27426;27320;27158;27043;26633;26217;25608;25380;25205;25180;24964
1007;Bibb County;Alabama;374191;392436;417363;453399;471023;502032;541687;567395;544533;572986;588961;612492;613760;633023;653018;649743;653575;672838;712472;768870;829213;21028;21199;21399;21721;22042;22099;22438;22705;22941;22861;22750;22682;22544;22586;22607;22654;22606;22383;22405;22223;22477;21028;21199;21399;21721;22042;22099;22438;22705;22941;22861;22750;22682;22544;22586;22607;22654;22606;22383;22405;22223;22477
1009;Blount County;Alabama;1099414;1115855;1193566;1277822;1343853;1384480;1501724;1594866;1584491;1606133;1645207;1731048;1753595;1828862;1900332;1903577;1990387;2073870;2154397;2265818;2517168;51845;52551;53457;54124;54624;55485;56240;57055;57341;57403;57712;57857;58024;58048;58168;58238;58676;58765;58956;59081;59041;51845;52551;53457;54124;54624;55485;56240;57055;57341;57403;57712;57857;58024;58048;58168;58238;58676;58765;58956;59081;59041
1011;Bullock County;Alabama;190315;196963;199576;200263;202287;217816;231699;254377;261688;255198;256625;264897;263143;257793;264545;268831;268801;273050;284288;313695;343317;11358;11256;11316;11056;11011;10776;11011;10953;10987;10885;10724;10689;10670;10818;10584;10612;10425;10443;10455;10309;10320;11358;11256;11316;11056;11011;10776;11011;10953;10987;10885;10724;10689;10670;10818;10584;10612;10425;10443;10455;10309;10320
1013;Butler County;Alabama;444131;454011;470227;493366;509732;524452;567077;585262;573592;599059;601973;620399;641986;667930;694772;682904;700952;705821;749627;783725;869601;21139;20803;20833;20870;20830;20815;20894;20949;20867;20922;20810;20568;20212;20139;19932;19760;19588;19312;19097;19045;18884;21139;20803;20833;20870;20830;20815;20894;20949;20867;20922;20810;20568;20212;20139;19932;19760;19588;19312;19097;19045;18884
1015;Calhoun County;Alabama;2576061;2689343;2832888;3016269;3156868;3308983;3513133;3634409;3578268;3672478;3743496;3784756;3734209;3818636;3957946;3994209;4070579;4162915;4301429;4597862;4942877;111266;111625;112705;113462;114477;115388;116211;117274;118363;118493;118132;117880;117465;117209;117048;116810;116796;116622;116669;116266;115972;111266;111625;112705;113462;114477;115388;116211;117274;118363;118493;118132;117880;117465;117209;117048;116810;116796;116622;116669;116266;115972
1017;Chambers County;Alabama;788330;799626;815874;835666;856389;894976;929019;905060;901217;937130;979220;999331;1009866;1028798;1075760;1102940;1099211;1141740;1175979;1258762;1372246;36274;35965;35680;35463;35279;34945;34847;34563;34384;34151;34243;34499;34721;34740;34953;34881;35038;35071;34914;34678;34541;36274;35965;35680;35463;35279;34945;34847;34563;34384;34151;34243;34499;34721;34740;34953;34881;35038;35071;34914;34678;34541
1019;Cherokee County;Alabama;475148;488363;514729;555599;580943;616177;675275;710079;704448;731937;750358;776498;807335;828813;874940;866840;886730;926310;946073;983743;1092799;24182;24403;24591;24887;25031;25466;25553;25636;25854;25936;25831;25671;25602;25355;25071;24973;24899;24978;25061;24958;24996;24182;24403;24591;24887;25031;25466;25553;25636;25854;25936;25831;25671;25602;25355;25071;24973;24899;24978;25061;24958;24996
