FIPS code;STNAME;CTYNAME;POPESTIMATE2020;POPESTIMATE2021;POPESTIMATE2022;NPOPCHG2020;NPOPCHG2021;NPOPCHG2022
1001;Alabama;Autauga County;58902;59210;59759;100;308;549
1003;Alabama;Baldwin County;233219;239361;246435;1458;6142;7074
1005;Alabama;Barbour County;24960;24539;24706;-264;-421;167
1007;Alabama;Bibb County;22183;22370;22005;-117;187;-365
1009;Alabama;Blount County;59102;59085;59512;-28;-17;427
1011;Alabama;Bullock County;10296;10280;10202;-66;-16;-78
1013;Alabama;Butler County;19031;18855;18650;-24;-176;-205
1015;Alabama;Calhoun County;116239;115677;115788;-205;-562;111
1017;Alabama;Chambers County;34645;34446;34088;-129;-199;-358
1019;Alabama;Cherokee County;24972;25026;25302;-7;54;276
1021;Alabama;Chilton County;45051;45259;45884;42;208;625
1023;Alabama;Choctaw County;12619;12549;12439;-44;-70;-110
1025;Alabama;Clarke County;22981;22715;22515;-106;-266;-200
1027;Alabama;Clay County;14211;14190;14198;-26;-21;8
1029;Alabama;Cleburne County;15063;15148;15346;6;85;198
1031;Alabama;Coffee County;53547;54171;54805;87;624;634
1033;Alabama;Colbert County;57299;57619;58033;67;320;414
1035;Alabama;Conecuh County;11553;11320;11206;-44;-233;-114
1037;Alabama;Coosa County;10341;10366;10166;-41;25;-200
1039;Alabama;Covington County;37507;37542;37602;-60;35;60
1041;Alabama;Crenshaw County;13165;13056;13025;-32;-109;-31
1043;Alabama;Cullman County;88131;89618;90665;274;1487;1047
1045;Alabama;Dale County;49253;49412;49544;-66;159;132
1047;Alabama;Dallas County;38174;37565;36767;-289;-609;-798
1049;Alabama;DeKalb County;71648;71829;71998;37;181;169
1051;Alabama;Elmore County;87853;88737;89563;-121;884;826
1053;Alabama;Escambia County;36680;36658;36666;-87;-22;8
1055;Alabama;Etowah County;103447;103139;103088;6;-308;-51
1057;Alabama;Fayette County;16330;16155;16118;4;-175;-37
1059;Alabama;Franklin County;32075;31996;31932;-38;-79;-64
1061;Alabama;Geneva County;26696;26667;26783;36;-29;116
1063;Alabama;Greene County;7702;7592;7422;-32;-110;-170
1065;Alabama;Hale County;14768;14737;14595;-18;-31;-142
1067;Alabama;Henry County;17175;17434;17655;27;259;221
1069;Alabama;Houston County;107286;107453;108079;82;167;626
1071;Alabama;Jackson County;52545;52694;52891;-37;149;197
1073;Alabama;Jefferson County;674675;669997;665409;320;-4678;-4588
1075;Alabama;Lamar County;13956;13740;13705;-20;-216;-35
1077;Alabama;Lauderdale County;94025;94862;95878;460;837;1016
1079;Alabama;Lawrence County;33089;33123;33214;12;34;91
1081;Alabama;Lee County;174742;177655;180773;498;2913;3118
1083;Alabama;Limestone County;104190;107381;110900;627;3191;3519
1085;Alabama;Lowndes County;10273;9926;9777;-37;-347;-149
