FIPS code;State;Area_name;Rural_urban_continuum_code_2013;Urban_influence_code_2013;Metro_2013;Civilian_labor_force_2000;Employed_2000;Unemployed_2000;Unemployment_rate_2000;Civilian_labor_force_2001;Employed_2001;Unemployed_2001;Unemployment_rate_2001;Civilian_labor_force_2002;Employed_2002;Unemployed_2002;Unemployment_rate_2002;Civilian_labor_force_2003;Employed_2003;Unemployed_2003;Unemployment_rate_2003;Civilian_labor_force_2004;Employed_2004;Unemployed_2004;Unemployment_rate_2004;Civilian_labor_force_2005;Employed_2005;Unemployed_2005;Unemployment_rate_2005;Civilian_labor_force_2006;Employed_2006;Unemployed_2006;Unemployment_rate_2006;Civilian_labor_force_2007;Employed_2007;Unemployed_2007;Unemployment_rate_2007;Civilian_labor_force_2008;Employed_2008;Unemployed_2008;Unemployment_rate_2008;Civilian_labor_force_2009;Employed_2009;Unemployed_2009;Unemployment_rate_2009;Civilian_labor_force_2010;Employed_2010;Unemployed_2010;Unemployment_rate_2010;Civilian_labor_force_2011;Employed_2011;Unemployed_2011;Unemployment_rate_2011;Civilian_labor_force_2012;Employed_2012;Unemployed_2012;Unemployment_rate_2012;Civilian_labor_force_2013;Employed_2013;Unemployed_2013;Unemployment_rate_2013;Civilian_labor_force_2014;Employed_2014;Unemployed_2014;Unemployment_rate_2014;Civilian_labor_force_2015;Employed_2015;Unemployed_2015;Unemployment_rate_2015;Civilian_labor_force_2016;Employed_2016;Unemployed_2016;Unemployment_rate_2016;Civilian_labor_force_2017;Employed_2017;Unemployed_2017;Unemployment_rate_2017;Civilian_labor_force_2018;Employed_2018;Unemployed_2018;Unemployment_rate_2018;Civilian_labor_force_2019;Employed_2019;Unemployed_2019;Unemployment_rate_2019;Civilian_labor_force_2020;Employed_2020;Unemployed_2020;Unemployment_rate_2020;Civilian_labor_force_2021;Employed_2021;Unemployed_2021;Unemployment_rate_2021;Median_Household_Income_2020;Med_HH_Income_Percent_of_State_Total_2020
1001;Alabama;Autauga County;2.0;2.0;1.0;21861.0;20971.0;890.0;4.1;22081.0;21166.0;915.0;4.1;22161.0;21096.0;1065.0;4.8;22695.0;21557.0;1138.0;5.0;23241.0;22146.0;1095.0;4.7;23887.0;22986.0;901.0;3.8;24425.0;23619.0;806.0;3.3;24434.0;23610.0;824.0;3.4;24687.0;23376.0;1311.0;5.3;24660.0;22464.0;2196.0;8.9;25749.0;23481.0;2268.0;8.8;25845.0;23688.0;2157.0;8.3;25762.0;23932.0;1830.0;7.1;25783.0;24155.0;1628.0;6.3;25639.0;24150.0;1489.0;5.8;25541.0;24206.0;1335.0;5.2;25710.0;24395.0;1315.0;5.1;26269.0;25224.0;1045.0;4.0;26475.0;25524.0;951.0;3.6;26684.0;25920.0;764.0;2.9;26405.0;24985.0;1420.0;5.4;26341.0;25599.0;742.0;2.8;67565.0;125.21776196300827
1003;Alabama;Baldwin County;3.0;2.0;1.0;69979.0;67370.0;2609.0;3.7;69569.0;66545.0;3024.0;4.3;69379.0;65881.0;3498.0;5.0;72598.0;69010.0;3588.0;4.9;74843.0;71061.0;3782.0;5.1;76608.0;73581.0;3027.0;4.0;79806.0;77263.0;2543.0;3.2;82829.0;80213.0;2616.0;3.2;83205.0;79222.0;3983.0;4.8;82314.0;74950.0;7364.0;8.9;83551.0;75283.0;8268.0;9.9;85077.0;77459.0;7618.0;9.0;84507.0;77973.0;6534.0;7.7;85206.0;79466.0;5740.0;6.7;86546.0;81265.0;5281.0;6.1;87493.0;82619.0;4874.0;5.6;89778.0;84972.0;4806.0;5.4;93152.0;89286.0;3866.0;4.2;96252.0;92769.0;3483.0;3.6;98921.0;96044.0;2877.0;2.9;98910.0;92751.0;6159.0;6.2;99427.0;96481.0;2946.0;3.0;71135.0;131.83401905185514
1005;Alabama;Barbour County;6.0;6.0;0.0;11449.0;10812.0;637.0;5.6;11324.0;10468.0;856.0;7.6;11006.0;10154.0;852.0;7.7;11019.0;10241.0;778.0;7.1;10639.0;9884.0;755.0;7.1;10730.0;10114.0;616.0;5.7;10713.0;10110.0;603.0;5.6;10363.0;9698.0;665.0;6.4;10175.0;9249.0;926.0;9.1;9944.0;8635.0;1309.0;13.2;10219.0;8978.0;1241.0;12.1;9843.0;8716.0;1127.0;11.4;9377.0;8273.0;1104.0;11.8;9096.0;8152.0;944.0;10.4;8859.0;7930.0;929.0;10.5;8590.0;7823.0;767.0;8.9;8334.0;7638.0;696.0;8.4;8415.0;7914.0;501.0;6.0;8505.0;8071.0;434.0;5.1;8637.0;8292.0;345.0;4.0;8680.0;8004.0;676.0;7.8;8197.0;7728.0;469.0;5.7;38866.0;72.03009748322769
1007;Alabama;Bibb County;1.0;1.0;1.0;8623.0;8160.0;463.0;5.4;9134.0;8513.0;621.0;6.8;8961.0;8333.0;628.0;7.0;8871.0;8346.0;525.0;5.9;8851.0;8375.0;476.0;5.4;8837.0;8444.0;393.0;4.4;8858.0;8489.0;369.0;4.2;8810.0;8443.0;367.0;4.2;8751.0;8225.0;526.0;6.0;8696.0;7637.0;1059.0;12.2;8936.0;7931.0;1005.0;11.2;8932.0;8000.0;932.0;10.4;8808.0;8037.0;771.0;8.8;8699.0;8000.0;699.0;8.0;8573.0;7959.0;614.0;7.2;8552.0;7983.0;569.0;6.7;8539.0;7986.0;553.0;6.5;8648.0;8261.0;387.0;4.5;8698.0;8354.0;344.0;4.0;8772.0;8488.0;284.0;3.2;8712.0;8073.0;639.0;7.3;8560.0;8262.0;298.0;3.5;50907.0;94.34560213499388
1009;Alabama;Blount County;1.0;1.0;1.0;25266.0;24375.0;891.0;3.5;25450.0;24521.0;929.0;3.7;25836.0;24436.0;1400.0;5.4;26008.0;24812.0;1196.0;4.6;26237.0;25149.0;1088.0;4.1;26378.0;25434.0;944.0;3.6;26799.0;25939.0;860.0;3.2;26683.0;25816.0;867.0;3.2;26693.0;25405.0;1288.0;4.8;26426.0;24005.0;2421.0;9.2;24928.0;22509.0;2419.0;9.7;25124.0;22951.0;2173.0;8.6;24978.0;23216.0;1762.0;7.1;24860.0;23277.0;1583.0;6.4;24571.0;23074.0;1497.0;6.1;24416.0;23089.0;1327.0;5.4;24380.0;23061.0;1319.0;5.4;25009.0;23979.0;1030.0;4.1;25337.0;24454.0;883.0;3.5;25582.0;24861.0;721.0;2.8;25116.0;23973.0;1143.0;4.6;25127.0;24529.0;598.0;2.4;55203.0;102.30735016123651
1011;Alabama;Bullock County;6.0;6.0;0.0;3997.0;3656.0;341.0;8.5;3937.0;3543.0;394.0;10.0;3890.0;3493.0;397.0;10.2;3992.0;3556.0;436.0;10.9;3879.0;3437.0;442.0;11.4;3734.0;3383.0;351.0;9.4;3703.0;3377.0;326.0;8.8;3666.0;3313.0;353.0;9.6;3641.0;3244.0;397.0;10.9;3713.0;3179.0;534.0;14.4;4941.0;4365.0;576.0;11.7;4829.0;4274.0;555.0;11.5;4742.0;4240.0;502.0;10.6;4774.0;4322.0;452.0;9.5;4738.0;4323.0;415.0;8.8;4765.0;4385.0;380.0;8.0;4785.0;4457.0;328.0;6.9;4890.0;4644.0;246.0;5.0;4844.0;4619.0;225.0;4.6;4861.0;4673.0;188.0;3.9;4877.0;4582.0;295.0;6.0;4606.0;4422.0;184.0;4.0;33124.0;61.38848734200675
1013;Alabama;Butler County;6.0;6.0;0.0;9221.0;8496.0;725.0;7.9;9060.0;8372.0;688.0;7.6;9172.0;8448.0;724.0;7.9;9218.0;8423.0;795.0;8.6;9090.0;8240.0;850.0;9.4;9113.0;8528.0;585.0;6.4;9247.0;8722.0;525.0;5.7;9124.0;8551.0;573.0;6.3;9063.0;8263.0;800.0;8.8;9033.0;7671.0;1362.0;15.1;9252.0;8015.0;1237.0;13.4;9180.0;8046.0;1134.0;12.4;9103.0;8029.0;1074.0;11.8;9144.0;8189.0;955.0;10.4;9285.0;8496.0;789.0;8.5;9113.0;8417.0;696.0;7.6;9116.0;8484.0;632.0;6.9;9046.0;8536.0;510.0;5.6;9070.0;8642.0;428.0;4.7;9317.0;8956.0;361.0;3.9;9236.0;8345.0;891.0;9.6;8796.0;8328.0;468.0;5.3;42268.0;78.33500129730531
1015;Alabama;Calhoun County;3.0;2.0;1.0;53244.0;50522.0;2722.0;5.1;51889.0;49001.0;2888.0;5.6;52111.0;48991.0;3120.0;6.0;53026.0;49892.0;3134.0;5.9;54074.0;51164.0;2910.0;5.4;53812.0;51409.0;2403.0;4.5;54118.0;51946.0;2172.0;4.0;54983.0;52782.0;2201.0;4.0;54574.0;51371.0;3203.0;5.9;53760.0;48278.0;5482.0;10.2;51577.0;45798.0;5779.0;11.2;51271.0;45986.0;5285.0;10.3;49717.0;45196.0;4521.0;9.1;48381.0;44068.0;4313.0;8.9;47321.0;43562.0;3759.0;7.9;45808.0;42566.0;3242.0;7.1;45450.0;42470.0;2980.0;6.6;46304.0;43960.0;2344.0;5.1;46805.0;44652.0;2153.0;4.6;46804.0;45064.0;1740.0;3.7;47022.0;43367.0;3655.0;7.8;46118.0;44212.0;1906.0;4.1;50259.0;93.14466807516958
1017;Alabama;Chambers County;6.0;5.0;0.0;17486.0;16709.0;777.0;4.4;17526.0;16568.0;958.0;5.5;17211.0;16056.0;1155.0;6.7;16896.0;15815.0;1081.0;6.4;16617.0;15468.0;1149.0;6.9;16308.0;15379.0;929.0;5.7;15761.0;14849.0;912.0;5.8;15517.0;14489.0;1028.0;6.6;15066.0;12823.0;2243.0;14.9;14487.0;11863.0;2624.0;18.1;14734.0;12581.0;2153.0;14.6;15185.0;13386.0;1799.0;11.8;15160.0;13630.0;1530.0;10.1;15263.0;14028.0;1235.0;8.1;15329.0;14308.0;1021.0;6.7;14939.0;14031.0;908.0;6.1;14858.0;14044.0;814.0;5.5;15375.0;14734.0;641.0;4.2;15530.0;14929.0;601.0;3.9;15992.0;15502.0;490.0;3.1;16093.0;14884.0;1209.0;7.5;15752.0;15173.0;579.0;3.7;39318.0;72.8677860558212
1019;Alabama;Cherokee County;6.0;6.0;0.0;11378.0;10862.0;516.0;4.5;11406.0;10881.0;525.0;4.6;11591.0;11039.0;552.0;4.8;11977.0;11392.0;585.0;4.9;12072.0;11501.0;571.0;4.7;12012.0;11493.0;519.0;4.3;11864.0;11367.0;497.0;4.2;12012.0;11500.0;512.0;4.3;11999.0;11287.0;712.0;5.9;11715.0;10460.0;1255.0;10.7;11466.0;10267.0;1199.0;10.5;11473.0;10369.0;1104.0;9.6;11278.0;10350.0;928.0;8.2;11392.0;10627.0;765.0;6.7;11407.0;10748.0;659.0;5.8;11132.0;10521.0;611.0;5.5;11241.0;10671.0;570.0;5.1;11470.0;10993.0;477.0;4.2;11813.0;11394.0;419.0;3.5;11906.0;11546.0;360.0;3.0;11672.0;11073.0;599.0;5.1;11808.0;11512.0;296.0;2.5;50388.0;93.38374291115312
